month;station;water_velocity_cm_s;CO2_conc_umol_l;CH4_conc_umol_l;Alk_meq_l;pH;water_temperature_C
May;1;8,500;127,19518920;0,399120023;3,558200610;7,77;11,5
May;2;7,500;112,04932860;0,494825227;3,067791709;7,76;11,0
May;3;42,480;99,01572754;0,417395638;3,492697707;7,87;9,0
May;4;NA;90,40061285;0,478016885;3,418993792;7,90;9,0
May;5;9,258;248,45667300;0,502306503;3,980834003;7,53;9,0
May;6;28,930;104,20640690;0,387017268;3,025787271;7,79;9,0
May;7;12,380;161,50809340;0,376821045;3,173562042;7,62;9,0
May;8;55,370;102,92140850;0,246139360;3,025787271;7,79;9,0
May;9;7,200;90,04762661;0,749015738;2,337970117;7,74;11,0
May;10;15,610;82,95157184;0,322106325;2,968116133;7,88;11,0
May;11;11,410;63,10673876;0,128443595;4,393620288;8,16;7,0
May;12;9,114;105,21096450;0,049869157;4,271842199;7,93;7,0
May;13;54,300;119,65213070;0,268129921;4,353592909;7,88;9,0
May;14;39,920;92,60922643;0,373246299;4,363572944;7,99;9,0
May;15;48,490;43,46573300;0,265377599;4,232681353;8,30;9,0
Jun;1;9,858;130,40723250;0,482582272;4,342936019;7,84;16,0
Jun;2;3,383;147,77035870;0,457171173;4,482734917;7,80;16,0
Jun;3;12,790;355,25009340;0,401671404;5,011079453;7,47;14,0
Jun;4;0,217;196,33654550;0,618254594;4,936165184;7,72;16,0
Jun;5;8,400;331,86430120;0,308157781;5,388037586;7,53;10,0
Jun;6;0,304;223,81179250;0,818515435;4,664806615;7,64;11,0
Jun;7;2,903;412,49012590;1,925048139;4,609821444;7,37;12,0
Jun;8;11,860;223,60865620;0,776356735;4,664806615;7,64;14,0
Jun;9;0,298;392,78137700;1,103724515;3,610808920;7,29;16,0
Jun;10;2,480;107,50712020;1,812880385;2,042172100;7,61;18,0
Jun;11;1,530;69,56879567;0,447105791;4,419486906;8,12;11,0
Jun;12;6,508;110,95353740;0,205340459;4,313958994;7,91;12,0
Jun;13;26,440;183,21864520;0,502713035;4,995144101;7,75;13,0
Jun;14;17,990;175,27783660;0,304989567;5,435810441;7,80;14,0
Jun;15;6,556;90,28417435;0,251620638;5,671315307;8,10;15,0
Jul;1;0,687;201,68112220;0,996084773;4,128259737;7,63;NA
Jul;2;0,054;359,00125480;0,897435664;4,321355453;7,40;16,0
Jul;3;12,640;451,19713460;1,477947222;4,510003665;7,32;16,0
Jul;4;0,054;334,30569000;2,646175923;4,515141563;7,45;16,0
Jul;5;7,629;195,35522510;0,456456224;5,567769966;7,77;13,0
Jul;6;0,000;183,16431670;1,157915868;4,519357420;7,71;13,0
Jul;7;0,207;423,96880590;2,475181328;4,558147618;7,35;12,0
Jul;8;16,620;183,81051460;0,467189821;4,519357420;7,71;14,0
Jul;9;2,480;288,27402190;2,700900001;3,962596900;7,46;16,0
Jul;10;0,804;299,06001840;0,980369897;3,572625593;7,40;15,0
Jul;11;18,260;53,17457613;1,128074873;4,310877419;8,22;12,0
Jul;12;6,728;106,72736340;0,507264414;4,384667954;7,93;13,0
Jul;13;27,300;215,06720920;0,467166454;4,329747161;7,62;14,0
Jul;14;12,360;174,80026790;0,381872423;4,276212891;7,70;15,0
Jul;15;16,750;85,76019202;0,326311913;4,679342002;8,04;14,0
Aug;6;0,000;229,99522980;0,018514155;4,846826510;7,65;16,0
Aug;7;1,319;522,55686470;2,424265662;4,707925296;7,28;14,0
Aug;8;23,440;228,74521480;0,554376375;4,846826510;7,65;16,0
Aug;9;0,000;498,35435090;2,200416146;4,284142008;7,26;19,0
Aug;10;6,748;346,03890180;0,884973110;3,724364723;7,36;17,0
Aug;11;11,110;86,32127978;0,677207627;4,553493480;8,04;15,0
Aug;12;3,740;169,00818280;0,332540865;4,754668827;7,77;16,0
Aug;13;33,110;242,51656440;0,500769129;4,765506505;7,61;16,0
Aug;14;13,660;202,69261240;0,370970610;4,940944704;7,70;17,0
Aug;15;34,720;119,65398330;0,303783977;4,750446793;7,91;18,0
Aug;2;NA;408,33584520;1,380237370;3,420975561;7,25;16,0
Aug;3;8,440;654,07184970;1,664768876;2,412981616;6,90;16,0
Aug;4;NA;493,32996830;3,689699566;2,293009567;7,00;16,0
Aug;5;14,530;521,41940290;6,677401888;4,377595415;7,25;15,0
Sep;1;NA;221,41247700;0,881019847;4,646485635;7,64;14,0
Sep;2;1,864;263,72372970;1,616764391;4,708538762;7,57;13,5
Sep;3;19,850;611,28083240;2,987566996;4,956754042;7,23;12,0
Sep;4;0,072;421,06513630;1,413928803;5,052222484;7,40;13,0
Sep;5;9,875;331,64258000;0,926907501;5,506519096;7,54;12,0
Sep;6;1,754;159,55866500;2,851988141;5,936005771;7,89;16,0
Sep;7;0,845;625,18846990;2,892109467;4,717359476;7,20;13,0
Sep;8;14,180;159,31137820;0,526301712;5,936005771;7,89;15,0
Sep;9;0,477;445,76042900;1,380489695;4,413512029;7,32;16,0
Sep;10;2,930;203,68923260;0,726847602;2,816143606;7,47;16,0
Sep;11;9,425;87,97408737;0,867571302;4,331859944;8,01;14,0
Sep;12;3,526;170,13674160;0,431105866;4,468411558;7,74;15,0
Sep;13;29,260;244,41336720;0,451073062;4,384026161;7,57;15,0
Sep;14;16,370;206,05308200;0,394774236;4,835495140;7,65;16,0
Sep;15;21,220;134,02456200;0,193345180;5,238260230;7,89;16,0
