Month;Start_Date;End_Date;Station;PumpCycle;Datetime;diff_flux_umol_m2_h1;CO2_diff_umol_m2_h1
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;21;2022-10-18T05:51:50Z;10,961200780170634;2521,0325375202642
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;22;2022-10-18T06:53:22Z;12,433327913580170;2725,6858081328664
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;23;2022-10-18T07:54:54Z;12,501807180756426;2528,4361699195192
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;2;24;2022-10-18T08:56:21Z;17,228680934254719;2626,4173881495858
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;4;2022-10-17T12:22:40Z;83,161714994846463;18739,5962234930812
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;5;2022-10-17T13:24:38Z;112,916872206003745;16627,2010075300714
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;6;2022-10-17T14:26:49Z;154,759729917018007;23256,7917250454157
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;7;2022-10-17T15:28:21Z;142,070000834625716;23074,1007303785482
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;8;2022-10-17T16:30:36Z;214,662282223232637;29897,0851741569022
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;9;2022-10-17T17:32:11Z;197,592214711689962;28814,8952591795023
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;10;2022-10-17T18:34:08Z;195,986296403617075;30930,4729210814839
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;11;2022-10-17T19:36:05Z;209,135404346409530;33145,8361699515444
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;12;2022-10-17T20:38:08Z;197,192262170590794;34024,5623264282767
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;13;2022-10-17T21:39:56Z;198,786219000025170;34511,9223863389052
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;14;2022-10-17T22:41:49Z;202,781481677880407;38845,7719388122350
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;15;2022-10-17T23:43:35Z;219,625922335103155;43691,5196443961177
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;16;2022-10-18T00:45:25Z;183,981246503869528;37045,7062228657669
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;17;2022-10-18T01:47:26Z;204,208787536017752;38626,1470208307655
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;18;2022-10-18T02:49:21Z;199,844600168751157;39997,4237237420894
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;19;2022-10-18T03:51:16Z;222,949653249119990;40326,6787045335805
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;20;2022-10-18T04:52:53Z;231,203064945521589;39347,6297325566265
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;21;2022-10-18T05:54:48Z;232,182597251458418;39474,9932804294949
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;3;22;2022-10-18T06:56:40Z;233,978263821154684;39635,7267052022653
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;2;2022-10-17T11:29:30Z;NA;5967,2361928330247
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;3;2022-10-17T12:32:39Z;NA;5091,1327582243794
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;4;2022-10-17T13:37:21Z;3,643468820532487;4304,5173598091160
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;5;2022-10-17T14:40:30Z;7,713828286413746;4293,6242871558843
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;6;2022-10-17T15:43:40Z;4,366708194158278;4382,0924824171179
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;7;2022-10-17T16:48:09Z;4,129866443154723;5549,9780162432053
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;8;2022-10-17T17:49:55Z;5,624938083907756;4567,1107387959100
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;9;2022-10-17T18:53:04Z;8,285072853380386;5740,1706676886815
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;10;2022-10-17T19:56:37Z;2,380623809077819;4810,6233491160228
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;11;2022-10-17T20:59:20Z;3,920915405422221;4914,4384485376231
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;12;2022-10-17T22:02:28Z;4,014017258674842;5561,8193030096481
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;13;2022-10-17T23:05:49Z;3,971145047080704;5627,6341178001067
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;14;2022-10-18T00:08:45Z;12,070375297090749;5732,7924925529660
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;15;2022-10-18T01:11:58Z;12,487774135606111;6036,4691883795012
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;16;2022-10-18T02:14:59Z;7,122215256764314;5131,7680518945517
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;17;2022-10-18T03:18:07Z;6,686038243948381;5376,9772094723639
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;18;2022-10-18T04:21:17Z;10,911808277721152;5034,9440959262774
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;19;2022-10-18T05:24:24Z;11,597582037799771;4815,7941760529184
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;20;2022-10-18T06:27:35Z;9,929459533016727;4923,9351664284777
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;21;2022-10-18T07:30:41Z;9,419419998775323;4966,3316986064756
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;22;2022-10-18T08:33:50Z;10,230956616954616;4796,6801662356156
Oct;2022-10-16T22:00:00Z;2022-10-17T22:00:00Z;5;23;2022-10-18T09:37:11Z;8,435656184445731;4876,8926084932882
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;2;2022-10-18T14:49:21Z;14,480078728183162;2218,8388601487300
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;3;2022-10-06T13:01:25Z;NA;2090,6009867770836
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;4;2022-10-06T14:02:56Z;NA;2166,2320796365225
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;5;2022-10-06T15:04:27Z;NA;2061,5630900831102
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;6;2022-10-06T16:05:57Z;NA;1940,3141295274040
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;7;2022-10-06T17:07:28Z;NA;1966,7170782529688
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;8;2022-10-06T18:08:59Z;NA;1852,5839890789923
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;9;2022-10-06T19:10:31Z;NA;1805,5128400873675
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;10;2022-10-06T20:12:02Z;NA;1810,2990597878400
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;11;2022-10-19T00:07:30Z;9,720946299570269;1800,5216884283825
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;12;2022-10-19T01:06:14Z;8,551746407966975;1833,2322825118615
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;13;2022-10-19T02:06:06Z;95,679474864375351;1771,5285636840440
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;14;2022-10-07T00:18:06Z;NA;1742,9525908154087
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;15;2022-10-07T01:19:37Z;NA;1734,4732742432368
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;16;2022-10-07T02:21:07Z;NA;1729,7754095748646
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;17;2022-10-19T06:17:52Z;11,381101000077944;1632,1658144444989
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;18;2022-10-07T04:24:06Z;NA;1515,0296527835171
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;6;19;2022-10-19T08:15:16Z;25,102002115661612;1512,0766053941074
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;2;2022-10-18T15:24:35Z;NA;7669,2041888444564
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;3;2022-10-18T16:29:16Z;19,930473412155717;6721,9563512319774
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;4;2022-10-18T17:32:23Z;21,099143402505149;7627,8803167569004
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;5;2022-10-18T18:35:29Z;15,804248275144756;6980,1943394694763
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;6;2022-10-18T19:38:35Z;14,128828948627072;6530,6051711409264
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;7;2022-10-18T20:41:41Z;15,054336443305839;8054,0703572160892
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;8;2022-10-18T21:44:49Z;15,848831669796668;6143,6951297115884
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;9;2022-10-18T22:47:57Z;15,417312456844884;6058,2614675546665
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;10;2022-10-18T23:51:02Z;15,067698559372230;5963,3848256614165
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;11;2022-10-19T00:54:10Z;14,910581678690534;5679,5965324836052
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;12;2022-10-19T01:57:18Z;16,479722007681652;5573,9043459136856
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;13;2022-10-19T03:00:24Z;16,854963353119373;5804,2850526530137
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;14;2022-10-19T04:03:30Z;14,092171242528334;5856,8555459063828
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;15;2022-10-19T05:06:46Z;19,847584389757383;5847,4310674091685
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;16;2022-10-19T06:09:44Z;18,382313730705260;5928,7304807924311
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;17;2022-10-19T07:12:51Z;17,366359819953654;6173,0896199099061
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;18;2022-10-19T08:15:55Z;19,770680797731583;6015,3256177424255
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;7;19;2022-10-19T09:19:00Z;18,411257586236292;6056,3126280366359
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;3;2022-10-18T16:29:16Z;19,666777091718060;3175,1277598149563
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;5;2022-10-18T18:35:29Z;80,242765533649575;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;6;2022-10-18T19:38:35Z;29,753657541480788;1571,1864329750947
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;7;2022-10-18T20:41:41Z;19,687173286324096;1583,0866888918531
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;8;2022-10-18T20:12:53Z;NA;1624,0663738310454
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;9;2022-10-18T22:47:57Z;16,553772609874986;1932,6511912581727
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;10;2022-10-18T23:51:02Z;24,769689043382144;1912,3966465779613
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;11;2022-10-19T00:54:10Z;26,165164959185343;2034,6105850700449
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;12;2022-10-19T01:57:18Z;58,209671500007147;2123,3480799984072
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;13;2022-10-19T03:00:24Z;25,813691764881899;2359,1519256392789
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;14;2022-10-19T04:03:30Z;21,041222765150369;2287,6547328693332
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;15;2022-10-19T05:06:46Z;22,345992181942687;2385,5109802793359
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;16;2022-10-19T06:09:44Z;27,161906052965698;2524,8633422605235
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;17;2022-10-19T07:12:51Z;35,793741481990544;2696,4900533069213
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;18;2022-10-19T08:15:55Z;22,133234771086720;2906,0438997146980
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;19;2022-10-19T09:19:00Z;30,302744400053687;2810,0115366749278
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;20;2022-10-19T08:34:51Z;29,669584239180089;2837,1291079449061
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;21;2022-10-19T09:36:41Z;NA;2352,8905756895074
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;9;22;2022-10-19T10:38:33Z;NA;2082,3628791285273
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;3;2022-10-18T17:19:30Z;7,843600952641453;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;4;2022-10-18T18:21:13Z;7,669518478935676;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;5;2022-10-18T19:22:56Z;4,207416605904490;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;6;2022-10-18T20:24:41Z;4,108112828393577;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;7;2022-10-18T21:26:25Z;5,715925182359620;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;8;2022-10-18T22:28:07Z;4,161350469106535;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;9;2022-10-18T23:29:51Z;4,496703521011906;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;10;2022-10-19T00:31:34Z;2,739043593783996;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;11;2022-10-19T01:33:18Z;2,947061667296813;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;12;2022-10-19T02:35:01Z;4,565472007918313;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;13;2022-10-19T03:36:45Z;4,717436229725085;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;14;2022-10-19T04:38:27Z;9,344650330022665;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;15;2022-10-19T05:40:11Z;8,008561144846023;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;16;2022-10-19T06:41:55Z;7,172973253418423;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;17;2022-10-19T07:43:35Z;9,405628480363603;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;18;2022-10-19T08:45:16Z;9,176851121125477;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;19;2022-10-19T09:46:57Z;6,186786326288108;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;20;2022-10-19T10:48:38Z;2,639786595307664;NA
Oct;2022-10-17T22:00:00Z;2022-10-18T22:00:00Z;10;21;2022-10-19T11:50:23Z;10,776958839557164;NA
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;2;2022-10-19T19:43:54Z;7,540984654152648;1484,2576630134540
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;3;2022-10-19T20:43:56Z;10,697344915087852;1432,6868123027707
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;4;2022-10-19T21:43:56Z;10,076886736025193;1387,0602552191722
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;5;2022-10-19T22:43:58Z;12,557971078141463;1346,2545057356842
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;6;2022-10-19T23:43:58Z;11,580924030811948;1362,5681665498837
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;7;2022-10-20T00:43:58Z;13,410327029561651;1184,9862417352665
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;8;2022-10-20T01:43:58Z;10,962685929948762;1167,4841674037737
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;9;2022-10-20T02:43:58Z;11,503903451759427;1202,5004766763211
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;10;2022-10-20T03:44:00Z;7,012277015451415;1148,0325798321453
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;11;2022-10-20T04:44:00Z;9,251980473753244;1087,4476361135733
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;12;2022-10-20T05:44:02Z;8,541024795222151;1064,7250419482984
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;13;2022-10-20T06:44:02Z;11,620213353184695;1049,2837284588588
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;14;2022-10-20T07:44:02Z;9,727128177801536;984,9313146328328
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;15;2022-10-20T08:44:08Z;9,465203423308717;951,6708144674310
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;16;2022-10-20T09:44:08Z;4,935159790399841;921,8498225161194
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;17;2022-10-20T10:44:08Z;6,540966381403468;863,1036545664219
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;18;2022-10-20T11:44:08Z;9,592592934339388;851,5443731286496
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;19;2022-10-20T12:44:08Z;12,323428731994699;852,4988151753274
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;20;2022-10-07T06:26:35Z;NA;821,4292094832887
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;21;2022-10-20T14:44:08Z;9,947430562899225;805,1069674476777
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;22;2022-10-20T15:44:10Z;11,151283869665995;780,0718211591130
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;11;23;2022-10-20T16:44:10Z;10,907827944795272;853,0912279168559
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;2;2022-10-19T12:08:03Z;8,511335544624604;3830,9024452956673
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;3;2022-10-19T13:11:10Z;7,375606837284831;3599,2941248055422
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;4;2022-10-19T14:12:45Z;NA;3597,5693741344908
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;5;2022-10-19T15:15:51Z;NA;3534,3038592277794
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;6;2022-10-19T16:18:56Z;NA;3690,2800990430305
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;7;2022-10-19T17:23:35Z;11,077299030535173;3753,8583393979202
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;8;2022-10-19T18:25:07Z;NA;3625,2148785348950
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;9;2022-10-19T19:29:45Z;9,985293111437828;3578,8964901523359
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;10;2022-10-19T20:32:56Z;12,040733357116320;3642,7276344836359
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;11;2022-10-19T21:35:52Z;9,273949891829480;3504,2721687945268
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;12;2022-10-19T22:38:57Z;16,267509832122723;3302,6307327700824
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;13;2022-10-19T23:42:01Z;12,603375127266649;3376,9659123357801
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;14;2022-10-20T00:45:10Z;16,685037601607153;3303,1174458431774
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;15;2022-10-20T01:48:08Z;13,673070750716304;2973,8809546625930
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;16;2022-10-20T02:51:16Z;15,379210610236685;3117,5333492757318
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;17;2022-10-20T03:54:13Z;15,562407659592226;2878,5264602261805
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;18;2022-10-20T04:57:17Z;10,583095742873008;2701,6667632986578
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;19;2022-10-20T06:00:20Z;13,046898477965520;2783,0657761868920
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;20;2022-10-20T07:03:22Z;16,664341177066198;2747,2392330158682
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;12;21;2022-10-20T08:06:23Z;17,706375021146858;2845,0046185857368
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;2;2022-10-19T14:58:07Z;154,897772627858188;29723,0336592976819
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;3;2022-10-19T15:59:59Z;163,476808677680935;31993,1486408348028
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;4;2022-10-19T17:01:48Z;159,619713851589836;21081,1358314014578
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;5;2022-10-19T18:03:43Z;171,510981177853097;22159,1033038892128
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;6;2022-10-19T19:05:33Z;168,863889015857893;17246,3868508689629
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;7;2022-10-19T20:07:29Z;173,434748057805450;17904,5135385125323
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;8;2022-10-19T21:09:00Z;175,604598282511660;19936,9296710232120
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;9;2022-10-19T22:11:06Z;169,872486011552041;18522,0406895215310
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;10;2022-10-19T23:12:56Z;181,266560455506237;17264,3114547842233
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;11;2022-10-20T00:14:30Z;180,524732386166789;17938,0778379700751
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;12;2022-10-20T01:16:16Z;178,395348216431756;17031,3795109216881
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;13;2022-10-20T02:18:00Z;180,833054314548804;16575,0265589953087
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;14;2022-10-20T03:20:12Z;180,216587790824576;16575,6525163199331
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;15;2022-10-20T04:21:31Z;184,198599985600481;15620,0836280312487
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;16;2022-10-20T05:23:25Z;184,985961382766902;15192,7425279202089
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;17;2022-10-20T06:25:21Z;175,221364885757197;14703,2180158717256
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;18;2022-10-20T07:26:59Z;183,221150747569595;14781,5889409966239
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;19;2022-10-20T08:29:13Z;179,985490500508121;16245,1312849761798
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;20;2022-10-20T09:30:33Z;136,620674697033877;12444,1009281126753
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;13;21;2022-10-20T10:32:31Z;141,268432961078247;NA
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;14;2;2022-10-19T14:27:41Z;21,226570746423405;NA
Oct;2022-10-18T22:00:00Z;2022-10-19T22:00:00Z;14;3;2022-10-19T15:29:25Z;16,992449892268322;NA
